"@timestamp",corp,path,msec
"May 23, 2022 @ 10:28:24.718","19,661","/6e57op/query/PayableCharge","63,322"
"May 17, 2022 @ 09:16:17.434","19,661","/6e57op/query/PayableCharge","93,355"
"May 17, 2022 @ 07:47:00.176","19,763","/6gjei1/query/PayableCharge","72,010"
"May 13, 2022 @ 00:17:44.229","19,661","/6e57op/query/PayableCharge","79,453"
"May 13, 2022 @ 00:17:30.048","19,661","/6e57op/query/PayableCharge","101,064"
"May 11, 2022 @ 23:09:04.114","21,587","/7pfysp/query/PayableCharge","127,534"
"May 11, 2022 @ 23:07:50.083","21,587","/7pfysp/query/PayableCharge","131,257"
"May 11, 2022 @ 23:07:38.312","21,587","/7pfysp/query/PayableCharge","105,524"
"May 11, 2022 @ 23:07:27.023","21,587","/7pfysp/query/PayableCharge","109,876"
"May 11, 2022 @ 23:07:24.634","21,587","/7pfysp/query/PayableCharge","89,946"
"May 11, 2022 @ 22:37:55.054","21,587","/7pfysp/query/PayableCharge","60,365"
"May 11, 2022 @ 00:27:35.437","19,661","/6e57op/query/PayableCharge","74,129"
"May 10, 2022 @ 23:18:00.629","19,661","/6e57op/query/PayableCharge","80,790"
"May 10, 2022 @ 23:17:52.501","19,661","/6e57op/query/PayableCharge","107,833"
"May 10, 2022 @ 11:48:50.819","22,090","/82iulg/query/PayableCharge","120,391"
"May 10, 2022 @ 11:48:00.802","22,090","/82iulg/query/PayableCharge","120,355"
"May 10, 2022 @ 11:47:13.878","22,090","/82iulg/query/PayableCharge","120,479"
"May 10, 2022 @ 11:47:01.101","22,090","/82iulg/query/PayableCharge","120,327"
"May 10, 2022 @ 11:42:14.106","22,090","/82iulg/query/PayableCharge","120,638"
"May 10, 2022 @ 11:42:01.450","22,090","/82iulg/query/PayableCharge","120,501"
"May 10, 2022 @ 11:40:36.720","22,090","/82iulg/query/PayableCharge","120,512"
"May 9, 2022 @ 11:29:43.655","21,239","/7gkj81/query/PayableCharge","105,588"
"May 9, 2022 @ 11:29:04.732","21,239","/7gkj81/query/PayableCharge","65,807"
"May 9, 2022 @ 11:29:04.425","21,239","/7gkj81/query/PayableCharge","64,872"
"May 9, 2022 @ 11:00:12.002","21,239","/7gkj81/query/PayableCharge","63,721"
"May 9, 2022 @ 07:50:06.624","21,239","/7gkj81/query/PayableCharge","79,475"
"May 9, 2022 @ 05:57:55.392","22,090","/82iulg/query/PayableCharge","120,706"
"May 9, 2022 @ 05:55:41.039","22,090","/82iulg/query/PayableCharge","120,634"
"May 9, 2022 @ 05:54:33.457","22,090","/82iulg/query/PayableCharge","120,590"
"May 9, 2022 @ 05:52:53.682","22,090","/82iulg/query/PayableCharge","120,559"
"May 9, 2022 @ 05:51:30.694","22,090","/82iulg/query/PayableCharge","120,608"
"May 3, 2022 @ 23:17:00.072","19,661","/6e57op/query/PayableCharge","81,683"
"May 3, 2022 @ 20:54:30.261","21,587","/7pfysp/query/PayableCharge","88,260"
"May 3, 2022 @ 20:54:25.125","21,587","/7pfysp/query/PayableCharge","92,123"
"May 3, 2022 @ 20:54:15.262","21,587","/7pfysp/query/PayableCharge","65,422"
"May 3, 2022 @ 20:54:13.832","21,587","/7pfysp/query/PayableCharge","70,524"
"May 3, 2022 @ 20:54:09.864","21,587","/7pfysp/query/PayableCharge","86,819"
"Apr 27, 2022 @ 08:26:28.819","13,408","/2z16v4/query/PayableCharge","132,135"
"Apr 23, 2022 @ 12:12:04.546","15,045","/3qric9/query/PayableCharge","120,332"
"Apr 20, 2022 @ 23:37:42.703","21,587","/7pfysp/query/PayableCharge","94,308"
"Apr 20, 2022 @ 23:36:54.524","21,587","/7pfysp/query/PayableCharge","96,247"
"Apr 5, 2022 @ 23:26:09.954","19,661","/6e57op/query/PayableCharge","84,668"
"Mar 31, 2022 @ 07:59:12.563","13,408","/2z16v4/query/PayableCharge","63,916"
"Mar 30, 2022 @ 01:08:55.159","19,661","/6e57op/query/PayableCharge","109,171"
"Mar 30, 2022 @ 01:08:40.311","19,661","/6e57op/query/PayableCharge","94,283"
"Mar 30, 2022 @ 01:08:03.457","19,661","/6e57op/query/PayableCharge","105,353"
"Mar 30, 2022 @ 01:08:02.725","19,661","/6e57op/query/PayableCharge","104,640"
"Mar 30, 2022 @ 01:07:35.550","19,661","/6e57op/query/PayableCharge","77,472"
"Mar 30, 2022 @ 00:15:59.461","19,661","/6e57op/query/PayableCharge","96,585"
